CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,New Georeferenced Column
280146422,67,BROOKLYN,9/1/23,23:20:00,9/2/23,2:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,104,FELONY,FRONT OF,RAPE,(null),PATROL BORO BKLYN SOUTH,157,RAPE 1,TUNNEL,1/8/24,(null),18-24,BLACK,M,,25-44,BLACK,F,997843,175671,40.64885075,-73.95101651,"(40.6488507469884, -73.951016510623)",POINT (-73.951016510623 40.6488507469884)
280261306,90,BROOKLYN,12/1/23,17:30:00,,(null),COMPLETED,(null),,0,N.Y. POLICE DEPT,107,FELONY,INSIDE,BURGLARY,(null),PATROL BORO BKLYN NORTH,221,"BURGLARY,RESIDENCE,DAY",RESIDENCE - APT. HOUSE,1/10/24,(null),UNKNOWN,UNKNOWN,U,,25-44,ASIAN / PACIFIC ISLANDER,F,997552,198606,40.711797,-73.952016,"(40.711797, -73.952016)",POINT (-73.952016 40.711797)
285366352,94,BROOKLYN,12/2/23,12:00:00,12/2/23,20:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,(null),PATROL BORO BKLYN NORTH,157,RAPE 1,RESIDENCE-HOUSE,4/15/24,(null),UNKNOWN,WHITE HISPANIC,M,,25-44,WHITE,F,997282,204143,40.72700069,-73.95298311,"(40.7270006940205, -73.9529831112437)",POINT (-73.9529831112437 40.7270006940205)
281644059,94,BROOKLYN,11/17/23,10:00:00,2/4/24,10:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,(null),PATROL BORO BKLYN NORTH,420,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT",RESIDENCE - APT. HOUSE,2/4/24,(null),(null),(null),(null),,25-44,WHITE,M,997817,200679,40.717486,-73.951057,"(40.717486, -73.951057)",POINT (-73.951057 40.717486)
284401526,19,MANHATTAN,12/24/23,9:00:00,12/25/23,13:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,(null),PATROL BORO MAN NORTH,412,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED",RESIDENCE - APT. HOUSE,3/27/24,(null),UNKNOWN,UNKNOWN,U,,65+,WHITE,M,997321,225718,40.786211,-73.952798,"(40.786211, -73.952798)",POINT (-73.952798 40.786211)
279795428,67,BROOKLYN,12/31/23,20:00:00,1/1/24,9:15:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,121,FELONY,FRONT OF,CRIMINAL MISCHIEF & RELATED OF,(null),PATROL BORO BKLYN SOUTH,267,"MISCHIEF, CRIMINAL 3 & 2, OF M",STREET,1/1/24,(null),UNKNOWN,UNKNOWN,U,,45-64,BLACK,F,997216,174221,40.644865,-73.953275,"(40.644865, -73.953275)",POINT (-73.953275 40.644865)
283682932,71,BROOKLYN,10/18/23,0:00:00,11/1/23,12:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,(null),PATROL BORO BKLYN SOUTH,458,"LARCENY,GRAND FROM RESIDENCE/BUILDING,UNATTENDED, PACKAGE THEFT INSIDE",RESIDENCE - APT. HOUSE,3/13/24,(null),(null),(null),(null),,25-44,BLACK,F,996824,182756,40.668292,-73.954673,"(40.668292, -73.954673)",POINT (-73.954673 40.668292)
279900077,19,MANHATTAN,12/6/23,10:00:00,1/2/24,9:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,(null),PATROL BORO MAN NORTH,739,"FRAUD,UNCLASSIFIED-FELONY",STORE UNCLASSIFIED,1/3/24,(null),UNKNOWN,UNKNOWN,U,,UNKNOWN,UNKNOWN,D,997932,220971,40.773182,-73.9506,"(40.773182, -73.9506)",POINT (-73.9506 40.773182)
279846429,67,BROOKLYN,10/23/23,0:01:00,10/23/23,4:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,(null),PATROL BORO BKLYN SOUTH,412,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED",RESIDENCE - APT. HOUSE,1/2/24,(null),(null),(null),(null),,18-24,WHITE HISPANIC,M,996876,177504,40.653877,-73.954496,"(40.653877, -73.954496)",POINT (-73.954496 40.653877)
290488543,79,BROOKLYN,10/1/23,8:00:00,7/22/24,11:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,(null),PATROL BORO BKLYN NORTH,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,7/22/24,(null),UNKNOWN,BLACK,M,,45-64,UNKNOWN,M,997243,190272,40.688922,-73.953147,"(40.688922, -73.953147)",POINT (-73.953147 40.688922)
281715240,67,BROOKLYN,5/1/23,0:01:00,5/31/23,23:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,(null),PATROL BORO BKLYN SOUTH,153,RAPE 3,RESIDENCE - APT. HOUSE,2/5/24,(null),18-24,BLACK,M,,18-24,BLACK,F,997843,175671,40.64885075,-73.95101651,"(40.6488507469884, -73.951016510623)",POINT (-73.951016510623 40.6488507469884)
280335123,23,MANHATTAN,4/1/23,10:00:00,10/25/23,6:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,(null),PATROL BORO MAN NORTH,458,"LARCENY,GRAND FROM RESIDENCE/BUILDING,UNATTENDED, PACKAGE THEFT INSIDE",COMMERCIAL BUILDING,1/11/24,(null),UNKNOWN,UNKNOWN,U,,45-64,UNKNOWN,M,997718,228536,40.793946,-73.951357,"(40.793946, -73.951357)",POINT (-73.951357 40.793946)
282944949,61,BROOKLYN,11/9/23,7:00:00,11/14/23,18:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,(null),PATROL BORO BKLYN SOUTH,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",RESIDENCE-HOUSE,2/28/24,(null),(null),(null),(null),,65+,WHITE,M,996842,159679,40.604952,-73.954651,"(40.604952, -73.954651)",POINT (-73.954651 40.604952)
280118407,71,BROOKLYN,12/22/23,4:00:00,12/22/23,5:30:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,FRONT OF,GRAND LARCENY,(null),PATROL BORO BKLYN SOUTH,439,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",RESIDENCE - APT. HOUSE,1/7/24,(null),UNKNOWN,UNKNOWN,U,,25-44,BLACK,F,996713,182111,40.666521,-73.955074,"(40.666521, -73.955074)",POINT (-73.955074 40.666521)
