id,latitude,longitude,node
7.76028E+17,40.74433,-73.97167,589099734
50762178,40.76117,-73.96505,1775176473
14882046,40.80652,-73.94709,3099326119
7.41905E+17,40.74953,-73.99849,42438672
32943764,40.80663,-73.94609,42438908
6.68935E+17,40.7193634,-73.985112,42437074
32847146,40.8493,-73.93821,60926076
9.68991E+17,40.8234,-73.95603,7491182059
46913873,40.81752,-73.94521,42435852
46816415,40.74567,-73.99055,42430282
42815488,40.73353594,-73.99016218,42436939
43265776,40.75705,-73.97909,42452353
35570396,40.81273,-73.94415,2141026534
35684442,40.82392,-73.95409,42433811
51493500,40.85235,-73.93402,42429058
9.60095E+17,40.8241688,-73.9416078,42440059
7.78441E+17,40.80107,-73.9378,42450080
50915436,40.81997,-73.94058,42438281
7.42232E+17,40.83806,-73.93792,42437319
53576447,40.74752,-73.99212,42427805
6.00668E+17,40.81547,-73.939,42435957
9.53829E+17,40.73178594,-73.98634059,42436942
6.64418E+17,40.75759776,-73.96990678,42436707
28132314,40.7568,-73.9648,42455963
52718808,40.78042766,-73.94886392,42443046
6.14413E+17,40.75069,-73.99572,4443775465
53848694,40.748,-73.9871,6223969260
38529246,40.76056,-73.98706,42435677
45685520,40.71991,-73.98318,42432078
21689998,40.71861,-74.00337,42428425
3803622,40.7132,-74.005,42431602
51501424,40.76462,-73.98008,42431549
12360843,40.71704,-73.99121,42437962
6.72501E+17,40.74345,-73.99156,42427423
5.83548E+17,40.79907,-73.96123,42432737
9106711,40.73324,-73.98396,42431464
21296642,40.73052,-73.98584,42442862
6.89769E+17,40.7398482,-73.9801503,42429900
34485694,40.76451,-73.9836,42435707
24473713,40.73559,-73.9835,42442881
21473314,40.74113,-73.9815,42449918
22751269,40.73492,-73.98454,42446879
65425,40.72021,-73.99426,42429752
8.73631E+17,40.76141834,-73.98921579,42445020
9.68125E+17,40.73966,-73.98405,42436582
39921646,40.74498,-73.98754,42438544
36839214,40.76689,-73.98713,42440960
49346405,40.76133,-73.99407,42432706
7.40655E+17,40.72986881,-73.98836835,4235734225
15083571,40.75037,-73.9811,42445910
52834116,40.76101,-73.99101,42445018
1.02117E+18,40.74809247,-73.97973307,42458333
8.913E+17,40.75854,-73.99415,42434434
7.72623E+17,40.77769,-73.95247,42443037
53604923,40.74545,-73.98232,42449308
52039176,40.748581,-73.995651,42435633
47889158,40.76255,-73.9918,42452365
8.18326E+17,40.76150327,-73.99166416,42445018
1.04024E+18,40.7444291,-73.9857968,42445888
6.65164E+17,40.7638,-73.98189,42440015
46960664,40.74336,-73.9821,42436751
6.90387E+17,40.776889,-73.95408,42435514
28197084,40.853,-73.9361,42454240
39921812,40.7444,-73.9879,42434800
40624423,40.76454,-73.98953,42445025
40623829,40.76679,-73.99154,42449550
36600797,40.71933,-73.994843,42432184
7.32445E+17,40.74547,-74.00389,42427386
47596692,40.74552,-73.99227,42430277
53076064,40.7433,-73.97802,42442906
808476,40.83485,-73.94943,595436395
52551976,40.7618,-73.97579,42440951
12025968,40.79679,-73.93805,42443085
11421969,40.77013,-73.95517,42430075
8.09348E+17,40.8192713,-73.953777,561035349
310338,40.82295,-73.94433,42440053
5.47047E+17,40.7267,-73.98511,42434205
12871708,40.85389,-73.93628,42442384
1359130,40.85812,-73.93412,42427782
7.83505E+17,40.85283,-73.92877,42455335
3636601,40.74844,-73.99665,42435633
6.6118E+17,40.8038,-73.96531,3579432156
1.02472E+18,40.74476589,-73.99986376,42434271
42788958,40.78329,-73.95061,42450037
6.1246E+17,40.77629,-73.95646,42439403
5.47259E+17,40.76842,-73.95226,42428013
9.81698E+17,40.7654,-73.96709,42429974
52842845,40.78205,-73.9514,42450035
8985316,40.76169,-73.96269,593300940
8.73145E+17,40.74380564,-73.97601182,42442913
9.60829E+17,40.78749161,-73.97590196,42442475
8.0347E+17,40.79381983,-73.97607764,42441521
24282118,40.70501,-74.0082,42442107
9.93457E+17,40.74622033,-73.99251404,42434807
9576812,40.8117,-73.94558,2141026513
27883,40.72421,-73.98509,42455051
9.28194E+17,40.78428234,-73.94725317,42443054
37403873,40.80729,-73.95251,42432905
45157580,40.80185,-73.96557,42442565
53260850,40.770977,-73.95639,42443020
15528972,40.79889,-73.96186,42421731
53475354,40.78815,-73.94322,42434912
50740601,40.76836,-73.95273,42428012
7.86045E+17,40.7583399,-73.96441511,42423564
51175460,40.77188,-73.95345,42436922
8.82032E+17,40.7092991,-74.0078252,42440340
45045785,40.71626,-73.99093,42445620
1.01965E+18,40.81287,-73.94537,2141026551
1.01627E+18,40.74835,-73.96767,5779545445
6581248,40.79985,-73.9698,42431113
40860829,40.7646,-73.98262,42428321
13623987,40.77499,-73.95844,42447105
6.46291E+17,40.7542,-73.99852,427841052
1.00559E+18,40.76062113,-73.9593505,42427968
1479283,40.749454,-73.996483,42427812
7.86219E+17,40.751708,-73.9711853,42442947
25371837,40.75042,-73.97153,42442939
47996191,40.72025,-73.9938,1773076511
8.62268E+17,40.7195987,-73.99175868,486867432
48483049,40.73406,-73.98583,42449890
34071700,40.7244,-74.00794,4142105811
8.13724E+17,40.73322975,-73.98173829,42446889
12327606,40.71363,-73.99881,1773055865
47396746,40.74768,-73.98693,42428232
4509560,40.73357,-73.98082,42437289
5.95769E+17,40.71391,-73.9922,42433545
11341728,40.71899,-73.99773,42435470
48345227,40.75468,-73.99483,42444964
30437291,40.76106,-73.95079,42450634
